Type,Parameter Name,Value,Unit,Expression,Comment
Metadata,series_id,3182G.67P,,3182G.67P,Input parameter (not in model)
User,component_height,96.0,in,96.0 in,"001) Input - Model
    Height of the component"
User,component_width,24.375,in,24.375 in,"002) Input - Model
    Width of the component"
User,component_floor_clearance,1.0,in,1.0 in,"004) Input - Model
    Floor clearance of the component"
User,door_hinging_right,0.0,,0,"007) Input - Model
    Whether the door's hinges are on the right side of the door"
User,hinge_hole_radius,0.25,in,0.25 in,"021) Fixed - Model
    The radius of the hinge holes"
User,component_thickness,0.75,in,0.75 in,"003) Fixed - Model
    The thickness of the component"
User,door_top_margin,1.72,in,1.72 in + if(door_wall_post_hinging; 0 in; if(floor_to_ceiling; top_notching_y_dist; 0 in)),"035) Fixed - Helper
    Distance between top-most hole and top of door"
User,door_bottom_margin,5.030000000000001,in,1.72 in + if(( bottom_notching_actual_y_dist > 0 in ) and not(door_wall_post_hinging); bottom_notching_actual_y_dist; 0 in),"034) Derived - Helper
    Distance between bottom-most hole and bottom of door"
User,door_swinging_out,0.0,,0,"008) Input - Model
    Whether the door is an outswing door"
User,door_wall_post_hinging,0.0,,0,"009) Input - Model
    Whether the door hinges on a wall post"
User,door_wall_keep_latching,0.0,,0,"011) Input - Model
    Whether the door latches on a wall keep"
User,notching_x_dist,0.4414,in,0.4414 in,"033) Fixed - Model
    The horizontal width of the notching"
User,bottom_notching_standard_y_dist,3.3100000000000005,in,3.31 in,"030) Fixed - Model
    Height of notching cutout from bottom of door"
User,hinge_hole_space,1.5,in,1.5 in,"040) Fixed - Helper
    Distance between the top and bottom hole on a single hinge"
User,hinge_hole_x_dist,0.968,in,0.968 in,"020) Fixed - Model
    Horizontal distance between hinge holes and edge of stile"
User,hole_placement,0.968,in,if(door_hinging_right; component_width - hinge_hole_x_dist; hinge_hole_x_dist),"105) Derived - Model
    An offset that shifts the hinge holes to the appropriate side of the component"
User,rabbeting_width,0.3,in,0.3 in,"050) Fixed - Model
    The horizontal width of the rabbeting"
User,rabbeting_depth,0.5,in,0.5 in,"051) Fixed - Model
    The depth of the rabbeting"
User,hinge_hole_depth,0.5625,in,0.5625 in,"022) Fixed - Model
    The depth of the hinge holes"
User,bottom_left_notching,1.0,,if(( bottom_notching_actual_y_dist > 0 in ) and ( ( not(door_hinging_right) and not(door_wall_post_hinging) ) or ( door_hinging_right and ( not(door_wall_keep_latching) and not(door_wall_post_latching) ) ) ); 1; 0),"301) Derived - Model
    Whether the bottom left corner of the door is notched to accommodate the shoe on a stile"
User,bottom_right_notching,1.0,,if(( bottom_notching_actual_y_dist > 0 in ) and ( ( door_hinging_right and not(door_wall_post_hinging) ) or ( not(door_hinging_right) and ( not(door_wall_keep_latching) and not(door_wall_post_latching) ) ) ); 1; 0),"302) Derived - Model
    Whether the bottom right corner of the door is notched to accommodate the shoe on a stile"
User,top_hinge_hole_1_y_value,1.72,in,door_top_margin,"401) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,top_hinge_hole_2_y_value,3.22,in,top_hinge_hole_1_y_value + hinge_hole_space,"402) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
