,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,component_height,1,Input,Model,Height of the stile,"001) Input - Model
    Height of the stile",Yes,107.5625,#N/A,
,component_width,2,Input,Model,Width of the component,"002) Input - Model
    Width of the component",Yes,8,#N/A,
,leveling_bar_additional_height,3,Fixed,Model,Height by which levelling bar extends beyond the compact laminate,"003) Fixed - Model
    Height by which levelling bar extends beyond the compact laminate",No,1.4375,= 1.4375,
,component_net_height,4,Derived,Model,Height of the compact laminate component exclusive of the leveling bar,"004) Derived - Model
    Height of the compact laminate component exclusive of the leveling bar",No,104.6875,= component_height - ( 2 * leveling_bar_additional_height ),
,component_thickness,5,Fixed,Helper,Thickness of the component,"005) Fixed - Helper
    Thickness of the component",No,0.75,= 0.75,
,hinge_hole_x_dist,6,Fixed,Model,Horizontal distance between hinge holes and edge of stile,"006) Fixed - Model
    Horizontal distance between hinge holes and edge of stile",No,1.268,= 1.268,
,door_bottom_notching_standard_y_dist,7,Fixed,Helper,Height of door bottom notching cutout from bottom of door,"007) Fixed - Helper
    Height of door bottom notching cutout from bottom of door",No,3.31,=3.31,
,hinge_hole_space,8,Fixed,Helper,Distance between a hinge's top and bottom hole,"008) Fixed - Helper
    Distance between a hinge's top and bottom hole",No,1.5,=1.5,
,levelling_gap,9,Fixed,Helper,"We leave a 1"" gap between the bottom of the stile and the floor to account for anchoring hardware","009) Fixed - Helper
    We leave a 1"" gap between the bottom of the stile and the floor to account for anchoring hardware",No,1,=1,
,stile_mid_top_hinge_offset,10,Fixed,Helper,an offset between the position of this hinge on the stile vs the door,"010) Fixed - Helper
    an offset between the position of this hinge on the stile vs the door",No,0.03125,=1/32,
,stile_mid_bottom_hinge_offset,11,Fixed,Helper,an offset between the position of this hinge on the stile vs the door,"011) Fixed - Helper
    an offset between the position of this hinge on the stile vs the door",No,0.03125,=1/32,
,stile_bottom_hinge_offset,12,Fixed,Helper,an offset between the position of this hinge on the stile vs the door,"012) Fixed - Helper
    an offset between the position of this hinge on the stile vs the door",No,-0.3125,=-5/16,
,rabbeting_start_above_door,13,Fixed,Helper,Distance by which rabbeting extends above door,"013) Fixed - Helper
    Distance by which rabbeting extends above door",No,1.386,= (0.75 +2.022) / 2,
,rabbeting_stop_below_door,14,Fixed,Helper,Distance by which rabbeting extends below door,"014) Fixed - Helper
    Distance by which rabbeting extends below door",No,1.386,= (0.75 +2.022) / 2,
,rabbeting_width,15,Fixed,Helper,Width of rabbetting,"015) Fixed - Helper
    Width of rabbetting",No,0.3,,
,hole_radius,16,Fixed,Helper,Radius of drill holes,"016) Fixed - Helper
    Radius of drill holes",No,0.25,,
